userid,name,t,revid,pageid,title,sizediff,tags
48518755,Ijustwant2003,2024-09-30T08:52:02Z,1248575323,1801363,Oatmeal ball,-1,wikieditor
48519928,Ilikebaykeyhogg,2024-09-30T13:53:41Z,1248605581,395179,Bóbr,12,visualeditor|mw-reverted
48520495,JamesRodger,2024-09-30T16:01:30Z,1248625588,71084764,Tom Douglas,26,mw-reverted|wikieditor
48520177,Jmoney445,2024-09-30T14:48:08Z,1248613780,6917796,De La Salle Institute,-2,visualeditor|mw-reverted
48520336,L I N O V E M B E R,2024-09-30T15:25:05Z,1248619845,20331466,List of concept albums,-5,mobile edit|mobile web edit|references removed|mw-reverted
48519924,Martian Manhunter 1776,2024-09-30T20:20:44Z,1248669645,15890921,Daniel B. Klein,245,visualeditor|editcheck-newreference
48519226,MaximAtSea,2024-09-30T13:52:17Z,1248605416,12449916,LGBTQ rights in Sri Lanka,474,visualeditor|editcheck-newreference
48519816,MeRe8700,2024-09-30T13:33:37Z,1248602903,57680374,AT&S,-24,wikieditor
48520826,MightyWaysss,2024-09-30T21:55:57Z,1248683456,40440822,Non-denominational Muslim,-1,mobile edit|mobile web edit|mw-manual-revert
48521987,MujjafIslam,2024-09-30T21:43:39Z,1248681848,18661854,Lucy Jane Bledsoe,22,mobile edit|mobile web edit|visualeditor|mw-reverted|newcomer task|newcomer task copyedit
48521278,OTC Management,2024-09-30T19:00:21Z,1248656519,22695542,Offshore Technology Conference,1236,visualeditor|mw-reverted|editcheck-references|editcheck-newreference|editcheck-newcontent
48521304,Paul E Nantulya,2024-09-30T18:53:35Z,1248655425,31623980,Namasagali College,11,wikieditor
48521478,PaulWebbTech,2024-09-30T19:31:24Z,1248661345,50814392,Ché Chesterman,39,visualeditor|mw-reverted
48519232,Poliviewernews,2024-09-30T11:29:14Z,1248588918,26855403,Dana Ahmed Majid,249,mobile edit|mobile web edit|visualeditor|editcheck-newreference
48522043,RalphWatch,2024-09-30T22:16:58Z,1248686372,76838006,Ralph de la Torre,12,mw-reverted|wikieditor
48521512,Sadekiqa010,2024-09-30T19:29:30Z,1248661064,77795213,2025 U-20 Africa Cup of Nations,2,mobile edit|mobile web edit|mw-reverted
48518267,SaintRoughneck,2024-09-30T12:23:31Z,1248594222,67923447,Carlos Del Toro,29,wikieditor
48519605,Saintkilda1873,2024-09-30T12:51:17Z,1248597464,61435719,Callum Wilkie,452,mw-reverted|wikieditor
48518140,Shots by Karthik S.P,2024-09-30T05:34:24Z,1248559833,72478588,Shobi Thilakan,46,mobile edit|mobile web edit
48519442,Sicko776,2024-09-30T19:45:44Z,1248663742,77126272,Steve Miller (broadcaster),34,visualeditor|mw-reverted
48519059,Sid23456,2024-09-30T14:40:34Z,1248612488,38446291,1969 Gujarat riots,947,wikieditor
48518208,Suraj1507,2024-09-30T08:28:10Z,1248573734,37595146,Dev Deepavali (Varanasi),172,mw-reverted|wikieditor
48521252,Tahir Khan Buzdar,2024-09-30T18:41:01Z,1248653343,4628943,Dera Ghazi Khan Airport,0,mobile edit|mobile web edit
48520406,Taydan100,2024-09-30T18:52:43Z,1248655292,2227658,Oyo State,254,mobile edit|mobile app edit|ios app edit|mw-reverted|app-section-source
48521580,TbhTindia,2024-09-30T19:50:57Z,1248664499,9364927,Secretary-General of Hezbollah,55,mobile edit|mobile web edit
48521421,Trackstar1328,2024-09-30T19:48:43Z,1248664190,33340108,Albemarle County Public Schools,1523,visualeditor|editcheck-newreference
48522138,Vdfqef,2024-09-30T22:41:18Z,1248689321,63826404,42 Dugg,13,visualeditor|mw-reverted
48520839,ViktorJakimov,2024-09-30T17:10:40Z,1248637685,1247130,Organising Bureau of European School Student Unions,4,visualeditor
48520448,Waldorf1948,2024-09-30T16:23:53Z,1248629532,1205694,Rishyasringa,50,visualeditor|mw-reverted
48521732,Wickl001,2024-09-30T20:49:50Z,1248674556,76880288,May 2024 solar storms,89,mw-reverted|wikieditor
48518899,WorldTraveler1705,2024-09-30T09:35:06Z,1248578558,24175810,National Youth Awards,-2,visualeditor|newcomer task|newcomer task copyedit
48518162,Zerpatidal,2024-09-30T05:30:48Z,1248559553,698511,Mizrahi Jews,1,mw-reverted|wikieditor
48518141,هاشم صفي الدين,2024-09-30T05:34:13Z,1248559820,36109722,Al Mayadeen,26,mobile edit|mobile web edit|mw-reverted
48520137,सम्राट रिक्कू सिंह,2024-09-30T18:53:31Z,1248655420,18019450,National Students' Union of India,-32,mobile edit|mobile web edit
