userid,name,t,revid,pageid,title,sizediff,tags
48366702,Kingfish60559,2024-08-31T02:18:09Z,1243196610,14834710,Northern Illinois Huskies football,45,mw-reverted|wikieditor
48367022,LG Official RhodeIsland,2024-08-31T03:29:14Z,1243203263,178312,Gebhard Leberecht von Blücher,-112,visualeditor|mw-manual-revert
48367256,Maglianera1970,2024-08-31T05:08:43Z,1243213776,32234272,Canadian National Road Race Championships,-13,mobile edit|mobile web edit|mw-reverted
48367820,MpowerPro,2024-08-31T21:00:08Z,1243324006,44607623,List of NetBeans-based software,68,visualeditor|mw-reverted|newcomer task|newcomer task copyedit
48369151,Ofthedwarf25,2024-08-31T15:40:15Z,1243279925,2000214,Deen Castronovo,-11,mobile edit|mobile web edit|mw-manual-revert
48370425,PatrickDCA,2024-08-31T21:53:10Z,1243332835,9593024,Harvard Department of Social Relations,275,visualeditor|editcheck-references|editcheck-newcontent
48367095,Qaiser-i-Mashriq,2024-08-31T04:27:00Z,1243209209,3981192,Khan (surname),6,mobile edit|mobile web edit
48370111,Rax.pz,2024-08-31T20:01:20Z,1243315133,12292404,Chinese mystery snail,24,visualeditor|mw-reverted
48369386,Runealtomty,2024-08-31T16:58:23Z,1243291278,5372596,Fifth Buddhist council,1273,visualeditor|editcheck-references|editcheck-newcontent
48368515,SAMIDefense,2024-08-31T13:59:33Z,1243265188,56087871,Saudi Arabian Military Industries,76,visualeditor
48367883,Sapna1988,2024-08-31T09:30:20Z,1243237748,10165816,Higher Secondary Certificate,105,visualeditor
48368485,Scampi62,2024-08-31T12:34:54Z,1243255374,3060112,Greggs,61,mobile edit|mobile web edit|mw-reverted|possibly inaccurate edit summary
48368710,"Serena Chiang, sc2743",2024-08-31T13:41:02Z,1243262817,263168,Xinhua News Agency,14,mobile edit|mobile web edit|mw-reverted
48369202,V6-V8-V10,2024-08-31T15:58:52Z,1243282576,30202,Economy of Turkey,0,mobile edit|mobile web edit|mw-reverted
48370053,Vanished user 9a08bd7f45bd35626fb699274db6c69d,2024-08-31T19:47:27Z,1243312750,75726993,Call of Duty: Black Ops 6,45,mobile edit|mobile app edit|android app edit|mw-reverted|app-description-change
48367418,Yolox761,2024-08-31T06:26:31Z,1243220844,21887490,Abercorn School,-195,mobile edit|mobile web edit|mw-manual-revert
48366993,Youareafool999,2024-08-31T20:36:18Z,1243320250,8324376,"Centennial High School (Pueblo, Colorado)",21,mw-manual-revert|wikieditor
48368925,Zeynepakata,2024-08-31T14:35:23Z,1243270047,63340625,Zeynep Akata,103,mobile edit|mobile web edit
