userid,name,t0,revid,pageid,title,sizediff,tags
48521304,Paul E Nantulya,2024-09-30T18:52:41Z,1248655264,31623980,Namasagali College,654,wikieditor
48521278,OTC Management,2024-09-30T18:41:11Z,1248653367,22695542,Offshore Technology Conference,-2,visualeditor|mw-reverted|editcheck-newreference
48521252,Tahir Khan Buzdar,2024-09-30T18:40:00Z,1248653195,4628943,Dera Ghazi Khan Airport,705,mobile edit|mobile web edit
48521224,Dngen,2024-09-30T18:21:24Z,1248650073,1353488,Barbados Joe Walcott,27,visualeditor|newcomer task|newcomer task links
48521199,Jurjen van Geel at Fortuna Sittard,2024-09-30T18:25:57Z,1248650902,1336325,Fortuna Sittard,0,visualeditor
48521171,Akashyadav2003,2024-09-30T18:07:29Z,1248647807,27170710,List of Indus Valley Civilisation sites,13,mobile edit|mobile web edit|mw-reverted
48521147,Kanaka Intellect,2024-09-30T18:27:08Z,1248651100,296374,Prime Minister of Papua New Guinea,-43,mobile edit|mobile web edit|mw-reverted
48521119,Coyote300,2024-09-30T18:13:02Z,1248648669,27226063,Sandpit (horse),39,visualeditor
48521092,Gagre7ga7ea6ea,2024-09-30T17:50:33Z,1248644808,200260,Total Request Live,1,visualeditor-switched|wikieditor
48521011,Yownzki,2024-09-30T17:39:31Z,1248642905,5343628,Waylon Reavis,22,mobile edit|mobile web edit
48520954,Jason remedios,2024-09-30T17:25:53Z,1248640456,53050024,Granny dumping,-10,wikieditor
48520923,Eville hound dog,2024-09-30T17:20:49Z,1248639399,241113,Dikembe Mutombo,14,mw-reverted|wikieditor
48520899,AquarianPE,2024-09-30T17:18:08Z,1248638934,4444265,Barrett Willoughby,52,mobile edit|mobile web edit|mw-reverted
48520839,ViktorJakimov,2024-09-30T17:08:46Z,1248637345,1247130,Organising Bureau of European School Student Unions,98,visualeditor
48520826,MightyWaysss,2024-09-30T17:04:46Z,1248636612,40440822,Non-denominational Muslim,-1,mobile edit|mobile web edit|mw-manual-revert|mw-reverted
48520790,Spreezy,2024-09-30T16:57:35Z,1248635408,72167382,Archie Gray,30,wikieditor
48520730,Afcrossland,2024-09-30T16:40:37Z,1248632479,49777036,List of active coal-fired power stations in the United Kingdom,-5,wikieditor
48520696,LeMoins87,2024-09-30T16:41:01Z,1248632563,27260242,Emmanuel Church at Brook Hill,24,visualeditor
48520653,JerryDavis1982,2024-09-30T16:29:56Z,1248630606,72876448,Marc White,214,wikieditor
48520549,ElectedCookie25,2024-09-30T16:24:58Z,1248629718,44827287,Spotted lanternfly,52,visualeditor
48520518,Jam112200,2024-09-30T16:01:42Z,1248625628,810186,Dave Reichert,4,mw-undo|wikieditor
48520495,JamesRodger,2024-09-30T15:57:16Z,1248624801,71084764,Tom Douglas,68,mw-removed-redirect|mw-reverted|wikieditor
48520448,Waldorf1948,2024-09-30T16:05:46Z,1248626420,224959,Anna Jarvis,205,visualeditor|mw-reverted
48520406,Taydan100,2024-09-30T18:25:48Z,1248650878,2227658,Oyo State,233,mobile edit|mobile app edit|ios app edit|mw-reverted|app-section-source
48520392,Emc232425,2024-09-30T16:06:22Z,1248626525,78005185,Black Muslim Leadership Council,-1279,visualeditor
48520336,L I N O V E M B E R,2024-09-30T15:22:56Z,1248619511,20331466,List of concept albums,76,mobile edit|mobile web edit|mw-reverted
48520299,Champion731,2024-09-30T15:19:41Z,1248618955,847040,List of concert halls,186,visualeditor
48520244,Nasdaq Saver,2024-09-30T15:03:39Z,1248616334,3917994,Bordeaux mixture,22,visualeditor-switched|wikieditor
48520192,207Engineering,2024-09-30T14:47:56Z,1248613743,38233879,The center for teaching and learning,119,visualeditor|mw-reverted
48520177,Jmoney445,2024-09-30T14:45:55Z,1248613400,6917796,De La Salle Institute,-129,visualeditor|mw-reverted
48520137,सम्राट रिक्कू सिंह,2024-09-30T18:51:38Z,1248655099,18019450,National Students' Union of India,32,mobile edit|mobile web edit
48520086,Mr anton anderson,2024-09-30T20:59:31Z,1248675900,20872342,Ferdi Taygan,0,visualeditor-switched|wikieditor
48520075,BSmith 1987!,2024-09-30T14:19:37Z,1248608999,54477721,Housing Ombudsman,121,visualeditor|disambiguator-link-added
48520032,OpalFinancialGroup,2024-09-30T14:42:11Z,1248612749,77832582,James Rosebush,139,visualeditor
48519981,Aemas765u8y,2024-09-30T13:57:45Z,1248606044,17327836,2008 Lebanon conflict,-7,mobile edit|mobile web edit|mw-reverted
48519971,Serpenttine8888,2024-09-30T13:59:07Z,1248606220,21040704,Fenelon Falls Secondary School,-4,mw-reverted|wikieditor
48519928,Ilikebaykeyhogg,2024-09-30T13:50:05Z,1248605157,3437663,"Science, technology, engineering, and mathematics",112,visualeditor|mw-reverted|editcheck-references|editcheck-newcontent
48519924,Martian Manhunter 1776,2024-09-30T18:33:33Z,1248652121,1023278,Thomas DiLorenzo,988,visualeditor|editcheck-references|editcheck-newreference|editcheck-newcontent
48519886,Balhaja31,2024-09-30T13:58:11Z,1248606107,8560,Design,24,visualeditor|mw-reverted
48519864,Janis Menbhi2011,2024-09-30T14:01:15Z,1248606521,8560,Design,24,visualeditor|mw-reverted
48519845,Informationandknowledge4all,2024-09-30T13:38:27Z,1248603639,1147108,Vietnamese diaspora,-3,visualeditor|mw-reverted
48519816,MeRe8700,2024-09-30T13:28:04Z,1248602106,57680374,AT&S,-49,wikieditor
48519768,Sband824,2024-09-30T13:38:50Z,1248603713,66595031,Eileen Mercier,735,visualeditor|possible unreferenced addition to BLP|mw-reverted|editcheck-references|editcheck-newcontent
48519766,Lasertech1818,2024-09-30T14:23:54Z,1248609640,67195829,Brad Cook,248,visualeditor|possible libel or vandalism|mw-reverted|disambiguator-link-added
48519709,Whylivewhen,2024-09-30T13:01:28Z,1248598733,13744195,Barry Sloane,11,visualeditor|mw-reverted|possibly inaccurate edit summary
48519708,TideFallen,2024-09-30T13:01:47Z,1248598779,49243921,Crush (singer),11,visualeditor
48519665,DorianStarbuck,2024-09-30T12:51:01Z,1248597428,12131731,Allen Reynolds,2,visualeditor-switched|wikieditor
48519663,DottechSpot88,2024-09-30T13:01:27Z,1248598729,1027207,Pay-per-click,221,visualeditor|mw-reverted|editcheck-newreference
48519614,Benb182,2024-09-30T12:47:03Z,1248596961,660579,Petersfield Town F.C.,395,mobile edit|mobile web edit|visualeditor|editcheck-newreference
48519605,Saintkilda1873,2024-09-30T12:35:33Z,1248595658,3391635,Trevor Barker Award,111,wikieditor
48519556,Toooooooopoo,2024-09-30T12:23:36Z,1248594228,36877,Bucharest,1,visualeditor|mw-reverted
48519554,AltBear,2024-09-30T12:18:05Z,1248593588,1707958,ESB Business School,-2,wikieditor
48519452,Frankiepeakall,2024-09-30T11:52:24Z,1248590842,30892,Truro,6,mw-reverted|wikieditor
48519442,Sicko776,2024-09-30T12:06:46Z,1248592263,77126272,Steve Miller (broadcaster),429,visualeditor|possible libel or vandalism|disambiguator-link-added|editcheck-newreference|editcheck-newcontent
48519385,Upendratheeditor,2024-09-30T11:44:30Z,1248590250,54413958,Howrah–Rajendra Nagar Express,236,mobile edit|mobile web edit|mw-reverted
48519349,Casai999,2024-09-30T11:43:37Z,1248590186,199453,Pancreatic islets,4511,visualeditor|editcheck-newreference|editcheck-newcontent
48519331,Evietheo,2024-09-30T11:27:27Z,1248588741,46551022,John Christodoulou,0,visualeditor
48519297,Oceanearth6969,2024-09-30T11:18:18Z,1248587778,3222192,Marcus Ashcroft,125,wikieditor
48519232,Poliviewernews,2024-09-30T11:20:01Z,1248587939,26855403,Dana Ahmed Majid,4,mobile edit|mobile web edit|visualeditor
48519226,MaximAtSea,2024-09-30T13:50:16Z,1248605182,12449916,LGBTQ rights in Sri Lanka,2635,visualeditor|editcheck-newreference
48519184,Shubham1676,2024-09-30T11:28:06Z,1248588807,36176805,Skills-based hiring,94,mw-reverted|wikieditor
48519059,Sid23456,2024-09-30T13:15:32Z,1248600549,38446291,1969 Gujarat riots,596,wikieditor
48518972,Eazirewebtech,2024-09-30T10:04:11Z,1248581023,26071599,Gulumbu Yunupingu,230,mw-reverted|wikieditor
48518952,Fraganlenuar,2024-09-30T11:53:48Z,1248590944,8398516,Pedro Alonso Niño,-11,wikieditor
48518914,CaliphMountain,2024-09-30T09:38:24Z,1248578829,17913849,Occultation (Islam),575,mobile edit|mobile web edit|mw-reverted
48518899,WorldTraveler1705,2024-09-30T09:33:34Z,1248578415,74117574,Brazilian criminal justice,4,visualeditor|newcomer task|newcomer task links
48518845,Mistahcjpipes,2024-09-30T09:16:53Z,1248577010,52967024,Koo Koo Roo,4,mobile edit|mobile web edit
48518810,Wrigmag,2024-09-30T09:06:12Z,1248576330,13820763,Claytown Troupe,123,mobile edit|mobile web edit
48518792,Helepli23,2024-09-30T10:29:08Z,1248583516,2983066,Dean Learner,232,wikieditor
48518755,Ijustwant2003,2024-09-30T08:50:12Z,1248575188,1801363,Oatmeal ball,15,mw-reverted|wikieditor
48518737,Encinas 1997,2024-09-30T08:54:52Z,1248575513,25077398,Lagrangian coherent structure,439,wikieditor
48518655,Anirudh Diwakar,2024-09-30T08:43:12Z,1248574770,7409732,"Shanmugha Arts, Science, Technology & Research Academy",1174,mw-reverted|wikieditor
48518608,Grobkies,2024-09-30T08:07:46Z,1248572256,466256,Barentsburg,-148,mobile edit|mobile web edit
48518553,MarekJalovec,2024-09-30T07:50:11Z,1248571081,674891,Arch Linux,660,wikieditor
48518531,Anuvid12,2024-09-30T07:44:15Z,1248570606,46505847,Kaashmora,37,mobile edit|mobile web edit|mw-reverted
48518479,RaheelAhmed12,2024-09-30T08:05:49Z,1248572117,24523203,Leather jacket,29,mw-reverted|wikieditor
48518452,BS LeoN scholar,2024-09-30T07:24:34Z,1248569307,63047099,Fall Guys,-1406,visualeditor|references removed|mw-reverted
48518425,CMCebsi2024,2024-09-30T07:46:09Z,1248570807,46612675,Everbright Securities International,54,visualeditor
48518395,VicksX2000,2024-09-30T07:16:31Z,1248568747,77969133,Hanif Yusuf,253,possible unreferenced addition to BLP|wikieditor
48518374,Poonam Maharjan,2024-09-30T07:06:54Z,1248567126,35540625,K. P. Sharma Oli,3,wikieditor
48518313,Frederic Hagumimana,2024-09-30T07:55:12Z,1248571393,409588,Advent Christian Church,-235,mobile edit|mobile web edit|mw-reverted
48518295,BradleyNZ,2024-09-30T06:33:18Z,1248564590,190903,Royal New Zealand Air Force,511,visualeditor|editcheck-newreference
48518267,SaintRoughneck,2024-09-30T07:04:36Z,1248566910,50691,Douglas fir,33,wikieditor
48518208,Suraj1507,2024-09-30T05:56:12Z,1248561491,55512007,Ahoi Ashtami,74,visualeditor
48518162,Zerpatidal,2024-09-30T05:30:08Z,1248559499,6744873,Revival of the Hebrew language,-2,wikieditor
48518141,هاشم صفي الدين,2024-09-30T05:33:35Z,1248559770,1277119,Al-Manar,27,mobile edit|mobile web edit|mw-reverted
48518140,Shots by Karthik S.P,2024-09-30T05:19:05Z,1248558656,42207978,Sajid Yahiya,77,mobile edit|mobile web edit
